Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),P&G Platform,P&G Ratio,Notes,Comments,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),"Patio A, 9N-8",14.83873889,-89.13519722,Early Formative ,Rayo,3280,3400,,Aoyama (1999),3.1,84,8,76,0,0.904761905,0,0,,,From the Vega Physiographic Zone,Chronology based on ceramic typology,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),Vacant Space(IV/82 Pit 2),14.84409444,-89.13364444,Middle Formative,,2850,2250,,Aoyama (1999),"4.1,4.2.",2733,1188,1545,24,0.565312843,0.015533981,0.008781559,,,From the Vega Physiographic Zone,"DMS=degrees, minutes, seconds",,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),Vacant Space(IV/82 Pit 3),14.84104167,-89.13461111,Middle Formative,,2850,2250,,Aoyama (1999),"4.1,4.2.",35,18,17,0,0.485714286,0,0,,,From the Vega Physiographic Zone,DD=digital degrees,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),"Patio A, 9N-8(IV/111)",14.83873611,-89.13519722,Middle Formative,,2850,2250,,Aoyama (1999),"4.1,4.2.",205,66,139,3,0.67804878,0.021582734,0.014634146,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),"Patio A, 9N-8(*8,20)",14.83873889,-89.13519722,Middle Formative,,2850,2250,,Aoyama (1999),"4.1,4.2.",325,57,268,16,0.824615385,0.059701493,0.049230769,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-15(IV/115),14.833125,-89.145075,Middle Formative,,2850,2250,,Aoyama (1999),"4.1,4.2.",17,2,15,4,0.882352941,0.266666667,0.235294118,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),"10L-18,19(IV/123)",14.83980278,-89.14470556,Middle Formative,,2850,2250,,Aoyama (1999),"4.1,4.2.",79,49,30,7,0.379746835,0.233333333,0.088607595,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-10(IV/99),14.83348889,-89.14211667,Late Formative ,Chabij,2250,1900,,Aoyama (1999),"5.1,5.2.",278,111,167,16,0.600719424,0.095808383,0.057553957,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(El Bosque),11L-3(IV/116),14.83349167,-89.143875,Late Formative ,Chabij,2250,1900,,Aoyama (1999),"5.1,5.2.",124,44,80,4,0.64516129,0.05,0.032258065,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Las Sepulturas),V/111,14.83985,-89.13517222,Protoclassic,Late Bijac,1750,1550,,Aoyama (1999),"6.1,6.2.",343,148,195,58,0.56851312,0.297435897,0.16909621,,,From the Vega Physiographic Zone,,,,,,,,,,,
