Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 307,A,18.03542778,-97.09123889,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"1,8,10,12",7,5,1,1,0.142857143,1,0.142857143,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-6,A,18.07303333,-97.14956389,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"1,6,8,10,12",114,40,72,72,0.631578947,1,0.631578947,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-10,A,18.07303333,-97.14956389,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"1,6,8,12",448,306,162,152,0.361607143,0.938271605,0.339285714,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Ts 218-11,A,18.07303333,-97.14956389,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"1,6,8,12",14,11,3,3,0.214285714,1,0.214285714,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,F,18.03542778,-97.21886667,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"6,8,10",3,2,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 50,VI,18.44056389,-97.21886667,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"1,6,8,10,12",60,49,3,4,0.05,1.333333333,0.066666667,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,E,18.03542778,-97.21886667,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,1,5,,6,5,1.2,0.833333333,1,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,D,18.03542778,-97.21886667,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"1,8",3,2,1,1,0.333333333,1,0.333333333,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,C,18.03542778,-97.21886667,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,8,1,1,0,0,0,0,0,,,,,,,,,,,,,,
Mexico,Tehuacan Valley,Tc 272,A,18.03542778,-97.21886667,Late Formative-Classic,Palo Blanco,2200,1300,n/a,Byers 1967,"1,6,8,12",11,10,9,8,0.818181818,0.888888889,0.727272727,,,,,,,,,,,,,,
